"ID","type","name","address","city","state","zip","lon","lat","score","locName","status","matchAddr","side","addressType","elevation","elev_units"
32,"UCCE","Lake UCCE","883 Lakeport Boulevard","Lakeport","CA",95453,-122.9223133,39.03440763,100,"World","M","883 Lakeport Blvd, Lakeport, California, 95453","R","StreetAddress",419.77,"meters"
33,"UCCE","Lassen UCCE","707 Nevada Street","Susanville","CA",96130,-120.6610749,40.41957406,100,"World","M","707 Nevada St, Susanville, California, 96130","R","PointAddress",1297.11,"meters"
34,"UCCE","Los Angeles UCCE","700 W. Main Street","Alhambra","CA",91801,-118.134255,34.091624,100,"World","T","700 W Main St, Alhambra, California, 91801","L","StreetAddress",150.76,"meters"
35,"UCCE","Los Angeles UCCE - Lancaster","335 East Avenue K-10","Lancaster","CA",93535,-118.1243122,34.67505782,99.2,"World","M","335 E Avenue K, Lancaster, California, 93535","L","StreetAddress",739.57,"meters"
36,"UCCE","Madera UCCE","328 S. Madera Avenue","Madera","CA",93637,-120.0561044,36.95142881,100,"World","M","328 S Madera Ave, Madera, California, 93637","L","StreetAddress",81.99,"meters"
37,"UCCE","Marin UCCE","1682 Novato Boulevard","Novato","CA",94947,-122.5782912,38.10598291,100,"World","M","1682 Novato Blvd, Novato, California, 94947","R","PointAddress",8.4,"meters"
38,"UCCE","Mariposa UCCE","5009 Fairgrounds Road","Mariposa","CA",95338,-119.9443882,37.46529517,100,"World","M","5009 Fairgrounds Rd, Mariposa, California, 95338","L","StreetAddress",562.88,"meters"
39,"UCCE","Mendocino UCCE","890 N. Bush Street","Ukiah","CA",95482,-123.214012,39.15870007,100,"World","M","890 N Bush St, Ukiah, California, 95482","L","StreetAddress",196.76,"meters"
40,"UCCE","Merced UCCE","2145 Wardrobe Avenue","Merced","CA",95341,-120.5197517,37.29548952,100,"World","M","2145 Wardrobe Ave, Merced, California, 95341","L","PointAddress",47.3,"meters"
41,"UCCE","Modoc UCCE","202 West 4Th Street","Alturas","CA",96101,-120.5436186,41.48742064,100,"World","M","202 W 4th St, Alturas, California, 96101","L","StreetAddress",1331.77,"meters"
42,"UCCE","Monterey UCCE","1432 Abbott Street","Salinas","CA",93901,-121.6226847,36.65162404,100,"World","M","1432 Abbott St, Salinas, California, 93901","L","PointAddress",18.14,"meters"
43,"UCCE","Napa UCCE","1710 Soscol Avenue","Napa","CA",94559,-122.285017,38.305836,100,"World","M","1710 Soscol Ave, Napa, California, 94559","R","PointAddress",5.39,"meters"
44,"UCCE","Nevada UCCE","255 South Auburn Street","Grass Valley","CA",95945,-121.0615782,39.21431126,100,"World","M","255 S Auburn St, Grass Valley, California, 95945","R","PointAddress",733.14,"meters"
45,"UCCE","Orange UCCE","7601 Irvine Blvd.","Irvine","CA",92618,-117.7223639,33.68764148,100,"World","M","7601 Irvine Blvd, Irvine, California, 92618","R","StreetAddress",123.07,"meters"
46,"UCCE","Placer UCCE","11477 E Avenue","Auburn","CA",95603,-121.1044019,38.93645741,100,"World","M","11477 E Ave, Auburn, California, 95603","R","StreetAddress",434.09,"meters"
47,"UCCE","Plumas/Sierra UCCE","208 Fairgrounds Road","Quincy","CA",95971,-120.9149876,39.93824172,97.59,"World","M","208 Fairground Rd, Quincy, California, 95971","R","PointAddress",1055.2,"meters"
48,"UCCE","Riverside UCCE","21150 Box Springs Road","Moreno Valley","CA",92557,-117.2939019,33.94663022,100,"World","M","21150 Box Springs Rd, Moreno Valley, California, 92557","L","StreetAddress",471.03,"meters"
49,"UCCE","Riverside UCCE - Blythe","290 N. Broadway","Blythe","CA",92225,-114.5968639,33.61381907,100,"World","M","290 N Broadway, Blythe, California, 92225","R","StreetAddress",82.67,"meters"
50,"UCCE","Riverside UCCE - Indio","81077 Indio Blvd","Indio","CA",92201,-116.2501065,33.73773454,100,"World","M","81077 Indio Blvd, Indio, California, 92201","L","PointAddress",6.77,"meters"
51,"UCCE","Sacramento UCCE","4145 Branch Center Road","Sacramento","CA",95827,-121.3381531,38.54525799,100,"World","M","4145 Branch Center Rd, Sacramento, California, 95827","R","StreetAddress",22.33,"meters"
52,"UCCE","San Benito UCCE","3228 Southside Road","Hollister","CA",95023,-121.3860584,36.81654933,100,"World","M","3228 Southside Rd, Hollister, California, 95023","L","StreetAddress",115.39,"meters"
53,"UCCE","San Bernardino UCCE","777 East Rialto Avenue","San Bernardino","CA",92415,-117.2709419,34.10142853,100,"World","T","777 E Rialto Ave, San Bernardino, California, 92408","R","PointAddress",319.18,"meters"
54,"UCCE","San Diego UCCE","9335 Hazard Way","San Diego","CA",92123,-117.1278314,32.83564654,100,"World","M","9335 Hazard Way, San Diego, California, 92123","R","PointAddress",125.14,"meters"
55,"UCCE","San Diego UCCE - North County","420 S Broadway","Escondido","CA",92025,-117.0793371,33.11868386,100,"World","M","420 S Broadway, Escondido, California, 92025","R","PointAddress",200.13,"meters"
56,"UCCE","San Joaquin UCCE","2101 East Earhart Avenue, Ste. 200","Stockton","CA",95206,-121.2411367,37.90418316,100,"World","M","2101 E Earhart Ave, Stockton, California, 95206","L","StreetAddress",8.05,"meters"
57,"UCCE","San Luis Obispo UCCE","2156 Sierra Way, Suite C","San Luis Obispo","CA",93401,-120.6480284,35.27441358,100,"World","M","2156 Sierra Way, San Luis Obispo, California, 93401","R","StreetAddress",108.04,"meters"
58,"UCCE","San Mateo & San Francisco UCCE, Elkus Ranch","1500 Purisima Creek Rd.","Half Moon Bay","CA",94019,-122.4097316,37.40502725,100,"World","M","1500 Purisima Creek Rd, Half Moon Bay, California, 94019","R","StreetAddress",78.24,"meters"
59,"UCCE","San Mateo Nutrition Program","300 Piedmont Avenue","San Bruno","CA",94066,-122.4287257,37.61059966,100,"World","M","300 Piedmont Ave, San Bruno, California, 94066","L","StreetAddress",137.74,"meters"
60,"UCCE","Santa Barbara UCCE","7127 Hollister Ave. Ste. 7","Goleta","CA",93117,-119.8776023,34.42989162,100,"World","M","7127 Hollister Ave, Goleta, California, 93117","R","StreetAddress",12.68,"meters"
61,"UCCE","Santa Clara UCCE","1553 Berger Drive, Bldg. 1","San Jose","CA",95112,-121.8945726,37.37373104,100,"World","M","1553 Berger Dr, San Jose, California, 95112","L","PointAddress",19.6,"meters"
62,"UCCE","Santa Cruz UCCE","1430 Freedom Boulevard, Suite E","Watsonville","CA",95076,-121.7652211,36.92713847,100,"World","M","1430 Freedom Blvd, Watsonville, California, 95076","R","PointAddress",26.59,"meters"
63,"UCCE","Shasta/Lassen UCCE","44218 A Street","Mcarthur","CA",96056,-121.4021258,41.05118947,100,"World","M","44218 A St, Mcarthur, California, 96056","L","PointAddress",1009.26,"meters"
